gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3345087426	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/12c5c319-0bac-4219-ac16-c00e3f38fbdd_image.jpg										© All rights reserved	Eirik Våg
3345087426	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/1a53bbde-29d7-4a9d-9404-22771537e6d9_image.jpg										© All rights reserved	Eirik Våg
3338499362	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/8/31e62d49-8f7b-4edc-9333-0da497bc0703_image.jpg										© All rights reserved	Liv Solfrid Hauge
3329830460	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/7/fa941453-91bf-4d54-9726-a4d88dcae30d_image.jpg										© All rights reserved	Md Abu Jafar Sujan
3329830460	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/7/48547580-0520-4b5e-9488-aaed50ecf9d1_image.jpg										© All rights reserved	Md Abu Jafar Sujan
3329803362	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/7/56a04633-92d3-45ec-86b8-139dcf88ba42_image.jpg										© All rights reserved	Jostein Moldsvor
3324026319	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/7/a4892b39-07c0-432a-839f-6d122e008d17_image.jpg										© All rights reserved	Martin Eggen
3323964419	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/7/6f9c5664-e7fc-4ecb-bc1a-5b7989eb7839_image.jpg										© All rights reserved	Stig Gaarden
3310067301	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/6/ed9dec17-788a-4336-af32-fbf44e63930a_image.jpg										© All rights reserved	Hildegunn Didriksen
3303491341	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/a0a51599-d31c-4c9f-904f-e25750c96163_image.jpg										© All rights reserved	Kjell Ove Svartås
3303473679	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/d6e68811-a056-42a4-8d18-fc76b4af7186_image.jpg										© All rights reserved	Helge Berge
3303473679	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/7ab90b4d-191f-458c-9194-30ae89d7db0b_image.jpg										© All rights reserved	Helge Berge
3303459580	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/6/7dde5b27-9fd5-4e04-b8ae-ff0c79603777_image.jpg			Kun kveldsspill så sent på året i dette området. Bilde tatt 22.30							© All rights reserved	Odd Rune Einmo
3303434578	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/244a8bd0-bc49-421a-8200-28bd5c80308b_image.jpg										© All rights reserved	Julian Bell
3303382868	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/4b5b433b-70c1-406c-baf5-270381fe1a29_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Kjell Larsen
3303382868	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/58d7fe9f-bf7a-4e09-9522-c680f27b510b_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Kjell Larsen
3303359795	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/952d39f7-654c-4649-875b-6844f3061dd8_image.jpg										© All rights reserved	Jan Ove Bratset
3303347097	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/55d297d8-6aef-4beb-88d0-6c7550962a8a_image.jpg										© All rights reserved	Helge Berntsen
3303340280	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/a42c0ddd-5ecf-48e7-b75e-a0057c02e679_image.jpg										© All rights reserved	Helge Berge
3303333973	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/b625ad0a-ae0c-4f15-81fc-eecdf1788f5c_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Kjell Larsen
3303333973	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/da926ae4-300b-436a-ac32-f85dbe8fb3bc_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Kjell Larsen
3303330393	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/85cdc719-2a73-4ed3-b334-c6630a8437c5_image.jpg										© All rights reserved	Egil Ween
3303329312	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/5f36803b-301e-46af-ba08-1ee30e80d72e_image.jpg										© All rights reserved	Egil Ween
3303325179	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/6/4771a640-b594-4490-b1fb-bf1f52a17786_image.jpg										© All rights reserved	Liv Hilmarsen
3303324106	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/888ad8c8-bac4-4584-a80d-37228fd6c8ed_image.jpg										© All rights reserved	Jan Petter Nilsen
3303314932	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/6/70cb61e9-779b-44c6-adcd-b83762882236_image.jpg										© All rights reserved	Øystein Hegge
3303307387	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/0f405fc4-c9aa-4c01-ad2a-83bfc1b13e8b_image.jpg										© All rights reserved	Siri Rysstad
3303241386	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/d87146cb-cdab-478a-8ece-3f5a2be38222_image.jpg										© All rights reserved	Rune Helgeland
3303223781	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/6bd88393-4f53-4733-81b9-a1db32151895_image.jpg										© All rights reserved	Julian Bell
3303190268	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/bd3e6f46-1a0e-444f-9f83-462e01c63e55_image.jpg										© All rights reserved	Gunn Nyborg
3303185066	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/f1659562-370c-43c6-ae3b-796370fc4942_image.jpg										© All rights reserved	Arkadiusz Suchecki
3303181029	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/b7bc01ee-6e2a-4b4b-b67b-79a30c4d7531_image.jpg										© All rights reserved	John Apeland
3303176659	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/4d7ec368-f3d8-42a7-b07b-a3da3b318fa9_image.jpg										© All rights reserved	Silje Susort
3303164319	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/6/9fc17433-8445-46e1-90ee-e1f6610e1aed_image.jpg										© All rights reserved	Morten Brandsnes
3303163967	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/6/d73d1168-b4d1-46f5-a1d9-c50d2e526908_image.jpg										http://creativecommons.org/licenses/by/4.0/	Roar Ottesen
3303135961	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/c3982750-359f-4baa-9c72-e677f30ed0d5_image.jpg										© All rights reserved	Helge Berge
3303134064	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/1355e158-1fd5-4522-a32b-21f36a05a1a6_image.jpg										© All rights reserved	Tom Jansson
3303131241	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/6/55fc05dc-eec5-4bce-abb1-a6ca2aa783e3_image.jpg										© All rights reserved	Kjell A. Kristiansen
3303125498	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/17474f36-f655-4e08-8350-bd07ef57c94b_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Raymond Borgen
3303123810	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/babc5eca-a281-4ac2-92f3-a2c3e1d09377_image.jpg										© All rights reserved	Ole Aa. Brattfjord
3303115540	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/36ea80eb-3b6c-4fd4-a372-8ec4e38dfda5_image.jpg										© All rights reserved	Ann Karin Gaasland
3303115492	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/6/235ccfc9-9406-453f-88f9-d2ddfef286ed_image.jpg										© All rights reserved	Liv Hilmarsen
3111489648	Sound	audio/mpeg	https://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/XC645028-2021-01052021-SNI-122_ORRFUGL-LAUKSLETTA.0900WAV.mp3			120 s				Stein Ø. Nilsen			http://creativecommons.org/licenses/by-nc-sa/4.0/	Stein Ø. Nilsen
